"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.619666698E-3,3.997775146E-2,7.736140396E-3,8.534069717E-2,9.455740623E-2
1.162166666E-2,5.394474881E-2,3.655492846E-2,5.883059084E-2,8.779144114E-2
2.162466670E-2,5.866988378E-2,1.208447713E-2,2.783976316E-2,6.605484284E-2
3.162766667E-2,4.492368277E-2,2.572464254E-3,1.645698845E-2,4.791228773E-2
4.162966670E-2,2.108460283E-2,-2.177760752E-2,2.738309562E-2,4.084921776E-2
5.163266667E-2,4.609246809E-2,-5.375500666E-2,2.528979242E-2,7.519102311E-2
6.163566670E-2,2.675344186E-2,-4.962453352E-2,5.232088566E-3,5.661904034E-2
7.163766667E-2,2.630852357E-2,-3.195782924E-2,1.436310053E-2,4.381483674E-2
8.164066670E-2,2.222026915E-2,-3.082935316E-2,4.370325923E-2,5.791514694E-2
9.164366667E-2,2.800937810E-2,3.564535752E-3,4.879326046E-2,5.637387198E-2
1.016456667E-1,3.020506239E-2,1.915050834E-2,5.582336783E-2,6.629733147E-2
1.116486667E-1,2.707318406E-2,2.569502274E-2,5.191625834E-2,6.394129626E-2
1.216516666E-1,4.554517784E-2,2.187622447E-2,5.174727380E-2,7.232366672E-2
1.316536667E-1,6.265362835E-2,1.525814479E-2,6.145540595E-2,8.907892595E-2
1.416566667E-1,7.374690193E-2,1.346663101E-2,7.207044125E-2,1.039908852E-1
1.516596667E-1,4.349430350E-2,-2.502717935E-3,6.412933767E-2,7.752799484E-2
1.616616667E-1,5.357303035E-2,-8.208522331E-3,3.313909471E-2,6.352675828E-2
1.716646667E-1,8.067392472E-2,-4.708782865E-2,2.430512130E-2,9.652090270E-2
1.816676666E-1,2.129612220E-1,-5.247377208E-2,4.630994797E-2,2.241664340E-1
1.916696667E-1,-1.167057649E-2,-2.136464791E-2,4.166842818E-2,4.825876546E-2
2.016726666E-1,-1.677256816E-1,-2.483952027E-3,2.610138595E-2,1.697626480E-1
2.116756667E-1,-1.442629614E-2,1.026966585E-2,7.489698529E-2,7.696195465E-2
2.216776666E-1,-7.665973809E-4,1.712684182E-2,5.827569008E-2,6.074514332E-2
2.316806667E-1,5.697490387E-2,-4.356303569E-3,5.333245397E-2,7.816308398E-2
2.416836667E-1,5.356152778E-2,-1.480060017E-2,3.865828156E-2,6.769311454E-2
2.516856667E-1,4.172018518E-2,-1.125927055E-2,3.670472682E-2,5.669728384E-2
2.616886667E-1,-4.771318836E-3,-8.197851162E-3,3.820102930E-2,3.936100719E-2
2.716916667E-1,1.247685271E-2,-1.179878583E-2,5.587599277E-2,5.845519455E-2
2.816936666E-1,5.724541068E-2,-6.657018475E-3,6.171560705E-2,8.444032859E-2
2.916966667E-1,4.200046781E-2,9.631588440E-3,3.013187170E-2,5.258076154E-2
3.016996667E-1,6.204229281E-2,1.716821088E-2,5.767459631E-2,8.643120167E-2
3.117016667E-1,3.110541483E-2,4.634338673E-3,5.407914340E-2,6.255859396E-2
3.217046667E-1,1.131765135E-2,7.324313689E-3,5.392945468E-2,5.558885577E-2
3.317076667E-1,-8.383354079E-4,-6.509522460E-3,3.790925324E-2,3.847321367E-2
3.417096667E-1,1.228717452E-2,-8.349659499E-3,2.517284811E-2,2.922950142E-2
3.517126667E-1,1.010032500E-2,-7.121031582E-3,-2.840577364E-3,1.268047853E-2
3.617156667E-1,2.561045738E-2,-8.290017899E-3,4.534925044E-2,5.273684138E-2
3.717176667E-1,2.970397429E-2,-2.044040412E-2,5.028137684E-2,6.187368638E-2
3.817206667E-1,3.364134313E-2,-1.108151520E-2,5.176890850E-2,6.272606981E-2
3.917236667E-1,4.081676295E-2,2.414973155E-3,3.634219944E-2,5.470462223E-2
4.017256667E-1,5.338194516E-2,2.384255173E-2,6.148698092E-2,8.484543691E-2
